"","precision","recall","f1"
"-LRB-",0.992805755395683,1,0.996389891696751
"-RRB-",0.992753623188406,1,0.996363636363636
",",1,1,1
":",0.996124031007752,0.996124031007752,0.996124031007752
".",1,1,1
"''",1,1,1
"``",1,0.96551724137931,0.982456140350877
"$",1,1,1
"ABLE",1,0.875,0.933333333333333
"ACT",0.955589586523737,0.992050874403816,0.973478939157566
"AMP",0.971830985915493,0.971830985915493,0.971830985915493
"ASPECT",0.985074626865672,0.985074626865672,0.985074626865672
"BEMA",0.98155737704918,0.995841995841996,0.988648090815273
"CAUSE",0.981132075471698,1,0.990476190476191
"CC",0.995995995995996,0.991035856573705,0.993509735396905
"CD",0.974955277280859,0.978456014362657,0.976702508960574
"COMM",0.985815602836879,1,0.992857142857143
"CONC",0.981132075471698,0.962962962962963,0.97196261682243
"COND",0.986486486486487,1,0.993197278911565
"CONT",0.995475113122172,1,0.997732426303855
"CUZ",1,0.961038961038961,0.980132450331126
"DEMO",0.995901639344262,0.896678966789668,0.943689320388349
"DMA",0.948186528497409,0.928934010152284,0.938461538461538
"DOAUX",0.956140350877193,0.956140350877193,0.956140350877193
"DT",0.99941141848146,0.996478873239437,0.997942991478108
"DWNT",1,1,1
"ELAB",1,0.9375,0.967741935483871
"EMO",0.958333333333333,0.884615384615385,0.92
"EMPH",0.980769230769231,0.971428571428571,0.976076555023923
"EX",0.95,1,0.974358974358974
"EXIST",0.979166666666667,0.989473684210526,0.984293193717278
"FPP1P",0.98780487804878,1,0.993865030674847
"FPP1S",0.997894736842105,0.989561586638831,0.993710691823899
"FPUH",1,0.981132075471698,0.990476190476191
"FREQ",1,1,1
"FW",0.34,0.5,0.404761904761905
"GTO",1,0.964285714285714,0.981818181818182
"HDG",1,0.956521739130435,0.977777777777778
"HGOT",0.875,0.875,0.875
"HST",1,1,1
"IN",0.972245236122618,0.989877688738929,0.98098223615465
"JJAT",0.916949152542373,0.891268533772652,0.903926482873851
"JJPR",0.866050808314088,0.829646017699115,0.847457627118644
"LIKE",0.96875,0.939393939393939,0.953846153846154
"MDCA",0.984848484848485,1,0.99236641221374
"MDCO",1,1,1
"MDMM",0.925925925925926,1,0.961538461538461
"MDNE",1,0.930555555555556,0.964028776978417
"MDWO",0.980769230769231,0.980769230769231,0.980769230769231
"MDWS",1,0.988372093023256,0.994152046783626
"MENTAL",0.974885844748858,1,0.98728323699422
"NCOMP",0.884126984126984,0.996422182468694,0.936921783010934
"NN",0.959142326523721,0.970281810418446,0.964679911699779
"OCCUR",0.95,1,0.974358974358974
"PASS",0.935185185185185,0.94392523364486,0.93953488372093
"PEAS",0.983957219251337,0.863849765258216,0.92
"PGET",0.888888888888889,0.727272727272727,0.8
"PIT",1,0.991780821917808,0.995873452544704
"PLACE",0.951456310679612,0.942307692307692,0.946859903381642
"POLITE",1,1,1
"POS",0.854700854700855,0.980392156862745,0.91324200913242
"PROG",0.966101694915254,0.870229007633588,0.91566265060241
"PRP",0,0,NA
"QUAN",0.981818181818182,0.992647058823529,0.987202925045704
"QUPR",1,0.968253968253968,0.983870967741935
"QUTAG",0.952380952380952,1,0.975609756097561
"RB",0.947368421052632,0.919148936170213,0.93304535637149
"RP",0.958041958041958,0.801169590643275,0.872611464968153
"SO",0.962025316455696,0.962025316455696,0.962025316455696
"SPLIT",0.986577181208054,1,0.993243243243243
"SPP2",1,1,1
"STPR",0.818181818181818,1,0.9
"SYM",0.764705882352941,0.481481481481481,0.590909090909091
"THATD",0.805555555555556,1,0.892307692307692
"THRC",0.8,0.7,0.746666666666667
"THSC",0.757352941176471,0.990384615384615,0.858333333333333
"TIME",0.952054794520548,0.972027972027972,0.961937716262976
"TO",0.978571428571429,0.9739336492891,0.97624703087886
"TPP3P",1,1,1
"TPP3S",1,0.997747747747748,0.998872604284104
"URL",1,1,1
"USEDTO",0.333333333333333,1,0.5
"VB",0.927909371781668,0.945435466946485,0.936590436590437
"VBD",0.968596663395486,0.968596663395486,0.968596663395486
"VBG",0.879895561357702,0.941340782122905,0.909581646423752
"VBN",0.546448087431694,0.869565217391304,0.671140939597315
"VIMP",0.716417910447761,0.533333333333333,0.611464968152866
"VPRT",0.962181178540018,0.948006932409012,0.955041466608468
"WHQU",0.760869565217391,0.760869565217391,0.760869565217391
"WHSC",0.950877192982456,0.9644128113879,0.957597173144876
"XX0",1,0.992700729927007,0.996336996336996
"YNQU",0.807692307692308,1,0.893617021276596
"NULL",NA,0,NA
"UNCLEAR",NA,NA,NA
